id,quiz_id,user_id,submitted_at,created_at,updated_at,score,trophy_level,accuracy,speed,final_score,negative_score,correct_answers,incorrect_answers,source,type,started_at,ended_at,duration,better_than,total_questions,rank_text,mistakes_corrected,initial_mistake_count,response_map_2523,response_map_2529,response_map_2533,response_map_2534,response_map_2535,response_map_2537,response_map_2538,response_map_2541,response_map_2543,response_map_2550,response_map_2553,response_map_2554,response_map_2555,response_map_2557,response_map_2558,response_map_2564,response_map_2565,response_map_2567,response_map_2572,response_map_2576,response_map_2585,response_map_2587,response_map_2589,response_map_2591,response_map_2593,response_map_2598,response_map_2599,response_map_2607,response_map_2610,response_map_2614,quiz_name,quiz_title,quiz_description,quiz_difficulty_level,quiz_topic,quiz_time,quiz_is_published,quiz_created_at,quiz_updated_at,quiz_duration,quiz_end_time,quiz_negative_marks,quiz_correct_answer_marks,quiz_shuffle,quiz_show_answers,quiz_lock_solutions,quiz_is_form,quiz_show_mastery_option,quiz_reading_material,quiz_quiz_type,quiz_is_custom,quiz_banner_id,quiz_exam_id,quiz_show_unanswered,quiz_ends_at,quiz_lives,quiz_live_count,quiz_coin_count,quiz_questions_count,quiz_daily_date,quiz_max_mistake_count,response_map_48,response_map_49,response_map_50,response_map_51,response_map_52,response_map_53,response_map_54,response_map_55,response_map_56,response_map_57,response_map_58,response_map_59,response_map_60,response_map_61,response_map_62,response_map_63,response_map_64,response_map_65,response_map_134,response_map_135,response_map_136,response_map_353,response_map_354,response_map_2525,response_map_2528,response_map_2539,response_map_2540,response_map_2548,response_map_2549,response_map_2552,response_map_2560,response_map_2562,response_map_2573,response_map_2574,response_map_2578,response_map_2580,response_map_2586,response_map_2590,response_map_2595,response_map_2600,response_map_2602,response_map_2608,response_map_2609,response_map_2612,response_map_2613,response_map_2521,response_map_2532,response_map_2544,response_map_2563,response_map_2566,response_map_2570,response_map_2571,response_map_2577,response_map_2582,response_map_2594,response_map_2596,response_map_2616,response_map_3043,response_map_3044,response_map_3046,response_map_3053,response_map_3062,response_map_3063,response_map_3064,response_map_3065,response_map_3068,response_map_3071,response_map_3074,response_map_3080,response_map_3082,response_map_3083,response_map_3086,response_map_3087,response_map_3089,response_map_3090,response_map_3096,response_map_3097,response_map_3104,response_map_3110,response_map_3111,response_map_3112,response_map_3114,response_map_3116,response_map_473,response_map_474,response_map_475,response_map_487,response_map_488,response_map_492,response_map_500,response_map_508,response_map_513,response_map_521,response_map_770,response_map_771,response_map_772,response_map_773,response_map_774,response_map_775,response_map_776,response_map_777,response_map_778,response_map_779,response_map_780,response_map_781,response_map_782,response_map_783,response_map_784,response_map_785,response_map_786,response_map_787,response_map_788,response_map_612,response_map_613,response_map_614,response_map_619,response_map_620,response_map_624,response_map_626,response_map_628,response_map_629,response_map_630,response_map_790,response_map_793,response_map_794,response_map_796,response_map_797,response_map_799,response_map_800,response_map_801,response_map_804,response_map_805,response_map_806,response_map_807,response_map_808,response_map_810,response_map_811,response_map_812,response_map_813,response_map_814,response_map_815,response_map_816,response_map_817,response_map_818,response_map_820,response_map_823,response_map_825,response_map_826,response_map_827,response_map_828,response_map_829,response_map_830,response_map_611,response_map_615,response_map_616,response_map_617,response_map_621,response_map_622,response_map_623,response_map_625,response_map_627,response_map_3132,response_map_3135,response_map_3137,response_map_3140,response_map_3142,response_map_3144,response_map_3145,response_map_3146,response_map_3147,response_map_3148,response_map_3149,response_map_3150,response_map_3156,response_map_3158,response_map_3160,response_map_3163,response_map_3165,response_map_3167,response_map_3168,response_map_3178,response_map_3181,response_map_3184,response_map_3185,response_map_3187,response_map_3188,response_map_3189,response_map_3190,response_map_3191,response_map_3193,response_map_3194,response_map_2417,response_map_2425,response_map_2435,response_map_2440,response_map_2444,response_map_2452,response_map_2459,response_map_2469,response_map_2515
336497,51,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-17T15:30:18.027+05:30,2025-01-17T15:30:18.044+05:30,2025-01-17T15:30:18.044+05:30,108,2,90 %,100,105.0,3.0,27,3,exam,topic,2025-01-17T15:18:30.000+05:30,2025-01-17T15:30:15.000+05:30,15:00,107,100,Topic Rank - #-171,9,12,10109.0,10130.0,10149.0,10151.0,10155.0,10163.0,10169.0,10178.0,10187.0,10216.0,10227.0,10232.0,10235.0,10242.0,10246.0,10270.0,10276.0,10283.0,10305.0,10318.0,10356.0,10365.0,10371.0,10378.0,10389.0,10407.0,10411.0,10444.0,10454.0,10472.0,,Human Physiology (15),,,Body Fluids and Circulation,2024-07-12T00:00:00.000+05:30,True,2024-07-12T11:17:37.658+05:30,2024-09-23T18:43:27.373+05:30,100,2024-07-13T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,100,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336448,6,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-17T15:17:44.042+05:30,2025-01-17T15:17:44.056+05:30,2025-01-17T15:17:44.056+05:30,92,1,100 %,100,92.0,0.0,23,0,exam,topic,2025-01-17T15:07:45.000+05:30,2025-01-17T15:17:41.000+05:30,15:00,395,23,Topic Rank - #-9140,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Physiology PYQ,,,Body Fluids and Circulation ,2024-04-25T00:00:00.000+05:30,True,2024-04-26T15:26:29.886+05:30,2024-06-05T18:27:32.163+05:30,23,2024-04-26T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,23,"January 17, 2025",15,192.0,197.0,199.0,203.0,208.0,212.0,217.0,221.0,224.0,229.0,232.0,235.0,239.0,245.0,250.0,253.0,256.0,261.0,538.0,543.0,546.0,1415.0,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333330,51,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-16T20:13:19.682+05:30,2025-01-16T20:13:19.699+05:30,2025-01-16T20:13:19.699+05:30,116,2,96 %,100,115.0,1.0,29,1,live,topic,2025-01-16T20:01:10.000+05:30,2025-01-16T20:13:18.000+05:30,15:00,115,100,Topic Rank - #-418,11,12,10109.0,,10149.0,,,,,,,10216.0,,10232.0,,,10246.0,10270.0,,,,,,,,,,,10411.0,10444.0,,,,Human Physiology (15),,,Body Fluids and Circulation,2024-07-12T00:00:00.000+05:30,True,2024-07-12T11:17:37.658+05:30,2024-09-23T18:43:27.373+05:30,100,2024-07-13T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,100,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,10117.0,10127.0,10170.0,10175.0,10208.0,10211.0,10223.0,10257.0,10265.0,10307.0,10313.0,10329.0,10337.0,10360.0,10377.0,10396.0,10414.0,10422.0,10447.0,10451.0,10464.0,10469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333242,6,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-16T20:00:11.562+05:30,2025-01-16T20:00:11.573+05:30,2025-01-16T20:00:11.573+05:30,36,2,90 %,100,35.0,1.0,9,1,live,topic,2025-01-16T19:52:57.000+05:30,2025-01-16T20:00:09.000+05:30,15:00,152,23,Topic Rank - #-1598,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Physiology PYQ,,,Body Fluids and Circulation ,2024-04-25T00:00:00.000+05:30,True,2024-04-26T15:26:29.886+05:30,2024-06-05T18:27:32.163+05:30,23,2024-04-26T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,23,"January 17, 2025",15,,197.0,,,208.0,212.0,217.0,221.0,,,,,239.0,,,,255.0,,,,546.0,1415.0,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329504,51,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-15T20:34:39.462+05:30,2025-01-15T20:34:39.478+05:30,2025-01-15T20:34:39.478+05:30,36,3,31 %,96,16.0,20.0,9,20,exam,topic,2025-01-15T20:21:25.000+05:30,2025-01-15T20:34:38.000+05:30,15:00,35,100,Topic Rank - #2023,0,20,10107.0,,,,,10163.0,10168.0,,,,,,,,10247.0,10270.0,,10283.0,10302.0,,10355.0,,,,10388.0,,,,10456.0,,,Human Physiology (15),,,Body Fluids and Circulation,2024-07-12T00:00:00.000+05:30,True,2024-07-12T11:17:37.658+05:30,2024-09-23T18:43:27.373+05:30,100,2024-07-13T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,100,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,,,,10174.0,,10211.0,,,,,,,,10361.0,10377.0,10396.0,,10424.0,,,,10469.0,10099.0,10145.0,10191.0,10266.0,10279.0,10297.0,10298.0,10324.0,10344.0,10393.0,10399.0,10481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328488,57,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-15T15:57:12.791+05:30,2025-01-15T15:57:12.800+05:30,2025-01-15T15:57:12.800+05:30,40,3,38 %,86,24.0,16.0,10,16,exam,topic,2025-01-15T15:47:05.000+05:30,2025-01-15T15:57:11.000+05:30,15:00,43,89,Topic Rank - #1810,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reproduction,,,Human Reproduction,2024-07-12T00:00:00.000+05:30,True,2024-07-12T16:57:41.878+05:30,2024-09-23T18:43:28.935+05:30,89,2024-07-13T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,89,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12184.0,12186.0,12194.0,12224.0,12261.0,12264.0,12267.0,12270.0,12283.0,12297.0,12307.0,12333.0,12340.0,12343.0,12354.0,12361.0,12368.0,12370.0,12394.0,12401.0,12427.0,12451.0,12456.0,12458.0,12466.0,12476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328414,6,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-15T15:36:46.410+05:30,2025-01-15T15:36:46.420+05:30,2025-01-15T15:36:46.420+05:30,36,3,50 %,78,27.0,9.0,9,9,exam,topic,2025-01-15T15:23:42.000+05:30,2025-01-15T15:36:45.000+05:30,15:00,152,23,Topic Rank - #-1598,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Physiology PYQ,,,Body Fluids and Circulation ,2024-04-25T00:00:00.000+05:30,True,2024-04-26T15:26:29.886+05:30,2024-06-05T18:27:32.163+05:30,23,2024-04-26T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,23,"January 17, 2025",15,193.0,197.0,202.0,203.0,208.0,212.0,217.0,221.0,226.0,229.0,231.0,235.0,240.0,244.0,249.0,,257.0,261.0,539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321514,20,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-13T16:10:03.743+05:30,2025-01-13T16:10:03.753+05:30,2025-01-13T16:10:03.753+05:30,12,2,30 %,100,5.0,7.0,3,7,live,topic,2025-01-13T16:05:27.000+05:30,2025-01-13T16:10:02.000+05:30,15:00,18,59,Topic Rank - #2556,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRINCIPLES OF INHERITANCE AND VARIATION PYQ,,,principles of inheritance and variation ,2024-06-07T00:00:00.000+05:30,True,2024-06-07T15:40:47.746+05:30,2024-06-20T18:17:03.628+05:30,59,2024-06-08T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,59,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.0,1898.0,1901.0,1951.0,1956.0,1972.0,2001.0,2034.0,2054.0,2085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320963,24,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-13T13:28:12.784+05:30,2025-01-13T13:28:12.795+05:30,2025-01-13T13:28:12.795+05:30,76,2,100 %,95,76.0,0.0,19,0,live,topic,2025-01-13T13:14:17.000+05:30,2025-01-13T13:28:11.000+05:30,15:00,375,20,Topic Rank - #-8479,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICROBES IN HUMAN WELFARE  PYQ,,,microbes in human welfare,2024-06-10T00:00:00.000+05:30,True,2024-06-10T13:19:22.991+05:30,2024-06-24T14:01:22.154+05:30,20,2024-06-11T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,20,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3084.0,3085.0,3091.0,3096.0,4667.0,3103.0,3107.0,3108.0,3113.0,3117.0,3120.0,3124.0,3130.0,3133.0,3139.0,3143.0,3146.0,3150.0,3153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320916,18,YcDFSO4ZukTJnnFMgRNVwZTE4j42,2025-01-13T13:12:40.687+05:30,2025-01-13T13:12:40.695+05:30,2025-01-13T13:12:40.695+05:30,40,1,100 %,100,40.0,0.0,10,0,live,topic,2025-01-13T13:11:13.000+05:30,2025-01-13T13:12:39.000+05:30,15:00,177,22,Topic Rank - #-2380,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPRODUCTIVE HEALTH PYQ,,,reproductive health ,2024-06-07T00:00:00.000+05:30,True,2024-06-07T15:24:37.590+05:30,2024-06-14T15:16:51.212+05:30,22,2024-06-08T00:00:00.000+05:30,1.0,4.0,True,True,False,False,False,,,False,,,False,2025-01-18,,Free Test,-1,22,"January 17, 2025",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451.0,2454.0,2460.0,2481.0,2483.0,2499.0,2509.0,2516.0,2521.0,2523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
